,BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
1020,2609423,What was I scared of? : a glow-in-the-dark encounter / written and illustrated by Dr. Seuss.,"Seuss, Dr.","0375853421, 0375958673, 9780375853425, 9780375958670","[2009], c1961.","Random House,","Glow in the dark books Specimens Juvenile fiction, Stories in rhyme Juvenile fiction, Fear Juvenile fiction, Glow in the dark books Juvenile fiction, Toy and movable books Juvenile fiction",jcbk,ncpic,,nga,10/01/2017,1
1021,1284155,The wordperfect shareware book / Michael A. Banks.,"Banks, Michael A.",0471577448,c1993.,"J. Wiley,","WordPerfect Computer file, Shareware Computer software",arbk,caref,,cen,10/01/2017,1
1022,2685766,"Diaghilev and the golden age of the Ballets Russes, 1909-1929 / edited by Jane Pritchard.",,"1851776133, 9781851776139",2010.,"V&A publishing,","Diaghilev Serge 1872 1929 Exhibitions, Ballets russes Exhibitions",acbk,canf,,cen,10/01/2017,1
1023,3226641,Egg / Kevin Henkes.,"Henkes, Kevin","0062408720, 0062408739, 9780062408723, 9780062408730",[2017],"Greenwillow Books,","Eggs Juvenile fiction, Animals Infancy Juvenile fiction, Friendship Juvenile fiction, Eggs Fiction, Birth Fiction, Animals Infancy Fiction, Friendship Fiction, Picture books for children",jcbk,ncpic,,col,10/01/2017,1
1024,3230353,Get well soon : history's worst plagues and the heroes who fought them / Jennifer Wright.,"Wright, Jennifer Ashley, 1986-","1627797467, 9781627797467",2017.,"Henry Holt and Company,","Epidemics History, Communicable diseases History, Epidemiology Social aspects",acbk,cafic,,cen,10/01/2017,1
1025,56604,Listen to the blues.,"Cook, Bruce, 1932-2003",0684133768,[c1973],C. Scribner's Sons,Blues Music History and criticism,acbk,canf,,cen,10/01/2017,1
1026,2334008,American heroes / Marfe Ferguson Delano.,"Delano, Marfe Ferguson","0792272080, 0792272153",2005.,"National Geographic,","Heroes United States Biography Juvenile literature, United States Biography Juvenile literature, Heroes Juvenile literature",jcbk,ncb,,lcy,10/01/2017,1
1027,3065251,The moon changes shape / Kathryn Beaton.,"Beaton, Kathryn","163362000X, 1633620395, 9781633620001, 9781633620391",[2015],"Cherry Lake Publishing,","Moon Phases Juvenile literature, Moon Juvenile literature",jcbk,ncnf,,bal,10/01/2017,1
1028,3007613,Lighght [sound recording] / Kishi Bashi.,"Kishi Bashi, 1975-",,p2014.,"Joyful Noise,",Popular music 2011 2020,accd,nacd,Floating,bro,10/01/2017,1
1029,2583596,Silk art embroidery : a woman's history of ornament & empowerment / Donna Cardwell.,"Cardwell, Donna","0764329065, 9780764329067",c2008.,"Schiffer Pub.,","Embroidery, Silk thread",acbk,canf,,cen,10/01/2017,1
1030,3126788,Dreams of freedom : in words and pictures.,,"1847804535, 9781847804532",2015.,"Frances Lincoln Children's Books,","Liberty Juvenile literature, Human rights workers Quotations maxims etc Juvenile literature",jcbk,ncenf,,gwd,10/01/2017,1
1031,1786078,Jaguar XJ6 automotive repair manual / by Mike Stubblefield and John H. Haynes.,"Stubblefield, Mike",1563922371,c1997.,"Haynes Pub. Group ; Haynes North America,",Jaguar XJ6 automobile Maintenance and repair Handbooks manuals etc,acbk,canf,,cen,10/01/2017,1
1032,2278895,Barenaked for the holidays [sound recording] / Barenaked Ladies.,Barenaked Ladies,,p2004.,"Desperation Records,","Christmas music, Hanukkah Songs and music",accd,nacd,Floating,bal,10/01/2017,1
1033,3008758,Penelope Fitzgerald : a life / Hermione Lee.,"Lee, Hermione","0385352344, 9780385352345",2014.,"Alfred A. Knopf,","Fitzgerald Penelope, Women novelists English 20th century Biography",acbk,nab,,mag,10/01/2017,1
1034,3099637,Unlearning to draw / Peter Jenny.,"Jenny, Peter, 1942-","1616893737, 9781616893736",[2015],"Princeton Architectural Press,",Drawing Technique,acbk,nanf,,glk,10/01/2017,1
1035,2566997,The fiesta dress : a quinceañera tale / by Caren McNelly McCormack ; illustrated by Martha Aviles.,"McNelly McCormack, Caren","0761454675, 9780761454670",2009.,"Marshall Cavendish Children,","Quincea¤era Social custom Juvenile fiction, Sisters Juvenile fiction, Family life Southwest New Fiction, Hispanic Americans Juvenile fiction, Southwest New Juvenile fiction",jcbk,ccpic,,cen,10/01/2017,1
1036,1798265,The treatment / Daniel Menaker.,"Menaker, Daniel",0679422064,1998.,"Alfred A. Knopf,",,acbk,cafic,,cen,10/01/2017,1
1037,263039,"How we built the Union Pacific railway, and other railway papers and addresses, by Major-General Grenville M. Dodge, chief engineer Union Pacific Railway, 1866-1870.","Dodge, Grenville M., 1831-1916",,1910.,"Govt. Print. Off.,","Union Pacific Railroad Company, Railroads United States History, West U S Description and travel",arbk,cs6r,,cen,10/01/2017,1
1038,2844153,The everything classical mythology book : from the heights of Mount Olympus to the depths of the underworld : all you need to know about the classical myths / Nancy Conner.,"Conner, Nancy, 1961-","1440502404, 9781440502408",c2010.,"Adams Media,","Mythology Greek, Mythology Roman",acbk,canf,,cen,10/01/2017,2
1039,230231,"King County and its queen city, Seattle : an illustrated history / by James R. Warren ; [picture research by Mary-Thadia D'Hondt ; produced with the assistance from the staff of the Museum of History and Industry].","Warren, James R.",0897810384,1981.,"Windsor Publications,","Seattle Wash History, Seattle Wash Description and travel, King County Wash History, King County Wash Description and travel",acbk,canf,,cen,10/01/2017,1
1040,2514346,Yŏl sebŏntchae iyagi = The thirteenth tale / Daian Setʻŏpʻildŭ changpʻyŏn sosŏl ; Yi Chin omgim.,"Setterfield, Diane","8992036264, 9788992036269",2007.,"Pichʻae,","Recluses as authors Fiction, Women authors Fiction, Female friendship Fiction",acbk,caln,,cen,10/01/2017,1
1041,2301931,Captains courageous / Rudyard Kipling ; introduction by John Seelye.,"Kipling, Rudyard, 1865-1936",0142437719,2005.,"Penguin Books,","Children of the rich Fiction, Saltwater fishing Fiction, Fishing boats Fiction, Teenage boys Fiction, Rescues Fiction, Fishers Fiction, Grand Banks of Newfoundland Fiction, Bildungsromans, Sea stories",acbk,nafic,,mon,10/01/2017,1
1042,2741336,Boomerang : travels in the new Third World / Michael Lewis.,"Lewis, Michael (Michael M.)","0393081818, 9780393081817",c2011.,"W.W. Norton & Co.,","Global Financial Crisis 2008 2009, International finance, Financial crises United States History 21st century",acbk,nanf,,qna,10/01/2017,1
1043,2456332,"The mind of the market : compassionate apes, competitive humans, and other tales from evolutionary economics / Michael Shermer.","Shermer, Michael","0805078320, 9780805078329",2008.,"Times Books,","Evolutionary economics, Economics Psychological aspects",acbk,nanf,,cap,10/01/2017,1
1044,3093912,The upstairs room / Johanna Reiss.,"Reiss, Johanna","006440370X, 9780064403702","1990, ©1972.","HarperTrophy,","Reiss Johanna Juvenile literature, World War 1939 1945 Personal narratives Jewish Juvenile literature, Netherlands History German occupation 1940 1945 Juvenile literature, Jews Netherlands Juvenile literature",jcbk,ccnf,,cen,10/01/2017,1
1045,712083,Quileute : an introduction to the Indians of La Push / prepared for the Quileute tribe by Jay Powell and Vickie Jensen.,"Powell, J. V.","0295954922, 0295954930",c1976.,"University of Washington Press,",Quileute Indians,arbk,caref,,cen,10/01/2017,1
1046,3064838,The baby swap / by Jan Ormerod ; pictures by Andrew Joyner.,"Ormerod, Jan","1481419145, 9781481419147",2015.,"Little Simon,","Brothers and sisters Juvenile fiction, Jealousy Juvenile fiction, Crocodiles Juvenile fiction, Animals Infancy Juvenile fiction, Babies Fiction, Brothers and sisters Fiction, Jealousy Fiction, Crocodiles Fiction, Animals Infancy Fiction",jcbk,ncpic,,qna,10/01/2017,1
1047,3140531,The summer before the war : a novel / Helen Simonson.,"Simonson, Helen","0812993101, 9780812993103",[2016],"Random House,","Authors Fiction, Women teachers Fiction, Interpersonal relations Fiction, Man woman relationships Fiction, World War 1914 1918 England Fiction, Country life England Fiction, Historical fiction, Satire",acbk,nafic,,nga,10/01/2017,1
1048,3195694,"Intense. 1, Night on the Red Road / story and art by Kyungha Yi ; translator, Jeong Lee.","Yi, Kyungha","1600092276, 9781600092275",2016.,"Netcomics,","Gay men Comic books strips etc, Mute persons Comic books strips etc, Organized crime Comic books strips etc, Prostitution Comic books strips etc",acbk,cacomic,,cen,10/01/2017,1
1049,3256398,Thea Stilton and the frozen fiasco / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement.,"Stilton, Thea","133808786X, 9781338087864",[2017],"Scholastic Inc.,","Mice Juvenile fiction, Sisters Juvenile fiction, Missing persons Juvenile fiction, Authors Juvenile fiction, Iceland Juvenile fiction, Mice Fiction, Sisters Fiction, Missing persons Fiction, Mystery and detective stories, Authors Fiction, Iceland Fiction",jcbk,ccser,,cen,10/01/2017,2
1050,2932273,Happy endings are all alike / Sandra Scoppettone.,"Scoppettone, Sandra","1939601045, 9781939601049",[2014],"Lizzie Skurnick Books,","Lesbians Juvenile fiction, Rape Juvenile fiction, Prejudices Juvenile fiction",acbk,cyfic,,cen,10/01/2017,1
1051,3278035,"When you look out the window : how Phyllis Lyon and Del Martin built a community / by Gayle E. Pitman, PhD ; illustrated by Christopher Lyles.","Pitman, Gayle E.","1433827360, 9781433827365",[2017],"Magination Press,","Lyon Phyllis Juvenile literature, Martin Del Juvenile literature, San Francisco Calif Description and travel Juvenile literature, Lesbian couples California San Francisco Juvenile literature",jcbk,ncenf,,dth,10/01/2017,1
1052,2212091,Season's revenge / Henry Kisor.,"Kisor, Henry",0765306662,2003.,"Forge,","Upper Peninsula Mich Fiction, Wilderness areas Fiction, Teton Indians Fiction, Bear attacks Fiction, Sheriffs Fiction, Christmas stories, Mystery fiction",acbk,camys,,cen,10/01/2017,1
1053,2739947,Santa's new jet / David Biedrzycki.,"Biedrzycki, David","1580892914, 1580892922, 9781580892919, 9781580892926",2011.,"Charlesbridge,","Santa Claus Juvenile fiction, Elves Juvenile fiction, Jet planes Juvenile fiction, Christmas Fiction, Humorous stories",jcbk,nchol,,wts,10/01/2017,1
1054,3126842,Which way to freedom? : and other questions about... the Underground Railroad / by Mary Kay Carson.,"Carson, Mary Kay","1454907843, 1454907851, 9781454907848, 9781454907855",[2014],"Sterling Children's Books,","Underground Railroad Juvenile literature, Fugitive slaves United States History 19th century Juvenile literature, Antislavery movements United States History 19th century Juvenile literature, Childrens questions and answers",jcbk,ncnf,,glk,10/01/2017,1
1055,3084194,Evergreen [sound recording] / Broods.,Broods (Musical group),,[2014],"Capitol,",Popular music 2011 2020,accd,cacd,,cen,10/01/2017,1
1056,2641886,The necromancer [sound recording] / Michael Scott.,"Scott, Michael, 1959-","0307710777, 9780307710772",p2010.,"Random House/Listening Library,","Flamel Nicolas 1418 Juvenile fiction, Dee John 1527 1608 Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Fiction, Magic Fiction, Alchemists Juvenile fiction, Alcatraz Island Calif Juvenile fiction, England Juvenile fiction, Paranormal fiction",accd,cybocd,,cen,10/01/2017,1
1057,2165808,"Shampoo [videorecording] / Columbia Pictures ; written by Robert Towne and Warren Beatty ; producer, Warren Beatty ; director, Hal Ashby.",,076784887X,"[2003], c1975.","Columbia TriStar Home Entertainment,","Comedy films, Feature films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,uni,10/01/2017,1
1058,3081556,The Great divide : the conflict between Washington and Jefferson that defined a nation / Thomas Fleming.,"Fleming, Thomas J.","0306821273, 9780306821271",2015.,"Da Capo Press, a member of the Perseus Books Group,","United States Politics and government 1775 1783, United States Politics and government 1783 1809, Political leadership United States, Washington George 1732 1799, Jefferson Thomas 1743 1826",acbk,nanf,,mag,10/01/2017,1
1059,2927445,Stella Bain : a novel / Anita Shreve.,"Shreve, Anita","0316098868, 9780316098861",2013.,"Little, Brown and Company,","World War 1914 1918 Fiction, War neuroses Fiction, Historical fiction",acbk,nafic,,mgm,10/01/2017,1
1060,3056019,The forgotten sisters / Shannon Hale.,"Hale, Shannon","1619634856, 9781619634855",2015.,"Bloomsbury,","Princesses Juvenile fiction, Self confidence Juvenile fiction, Kings and rulers Juvenile fiction, Telepathy Juvenile fiction, Mountains Juvenile fiction, Schools Juvenile fiction, Princesses Fiction, Self confidence Fiction, Kings queens rulers etc Fiction, Telepathy Fiction, Mountains Fiction, Schools Fiction, Mystery and detective stories, Young adult fiction",acbk,nyfic,,rbe,10/01/2017,1
1061,1107717,A lesson from Aloes : a play / by Athol Fugard.,"Fugard, Athol",1559360011,1989.,"Theatre Communications Group,",,acbk,canf,,cen,10/01/2017,1
1062,3254967,The marriage pact : a novel / Michelle Richmond.,"Richmond, Michelle, 1970-","0385343299, 9780385343299",[2017],"Bantam Books,","Marriage Fiction, Newlyweds Fiction, Conduct of life Fiction, Cults Fiction, Psychological fiction, Thrillers Fiction",acbk,canew,,cen,10/01/2017,1
1063,3292383,It takes a tribe : building the Tough Mudder movement / Will Dean with Tim Adams.,"Dean, Will,","0241292603, 0735214697, 9780241292600, 9780735214699",[2017],"Portfolio / Penguin,",Obstacle racing,acbk,nanf,,qna,10/01/2017,1
1064,3146031,Come rain or come shine : a white parent's guide to adopting and parenting black children / Rachel Garlinghouse.,"Garlinghouse, Rachel.","1478310863, 9781478310860",©2012.,"CreateSpace,","Interracial adoption United States, Parenting United States, Parent and child United States, Garlinghouse Rachel Family",acbk,nanf,,nga,10/01/2017,1
1065,3126288,"Gjelina : cooking from Venice, California / Travis Lett ; photography by Michael Graydon and Nikole Herriott.","Lett, Travis,","145212809X, 9781452128092",[2015],"Chronicle Books,","Cooking American California style, Cookbooks",acbk,nanf,,wal,10/01/2017,1
1066,3137592,Streetfight : handbook for an urban revolution / Janette Sadik-Khan and Seth Solomonow.,"Sadik-Khan, Janette.","0525429840, 9780525429845",[2016],"Viking,","Streets New York State New York Planning, City traffic New York State New York Planning, Pedestrian traffic flow New York State New York Planning, Pedestrian areas New York State New York Planning, Bicycle traffic flow New York State New York Planning, Transportation New York State New York Planning, Bicycle trails New York State New York Planning, Urban transportation policy New York State New York",acbk,nanf,,qna,10/01/2017,1
1067,2846173,The eve of destruction : how 1965 transformed America / James T. Patterson.,"Patterson, James T.","0465013589, 9780465013586",c2012.,"Basic Books,","United States History 1961 1969, United States Politics and government 1963 1969, United States Social conditions 1960 1980, Vietnam War 1961 1975 United States",acbk,canf,,cen,10/01/2017,2
1068,2716155,Aztec / written by Elizabeth Baquedano ; photographed by Michel Zabé.,"Baquedano, Elizabeth","0756673208, 0756686873, 9780756673208, 9780756686871",2011.,"DK Pub., Inc.,","Aztecs Juvenile literature, Mayas Juvenile literature, Incas Juvenile literature, Aztecs Juvenile fiction, Incas Juvenile fiction, Mayas Juvenile fiction",jcbk,ncnf,,wal,10/01/2017,1
1069,3027691,Beautiful blood / Lucius Shepard.,"Shepard, Lucius","1596066520, 9781596066526",©2014,"Subterrean Press,","Dragons Fiction, Fantasy fiction",acbk,nasf,,glk,10/01/2017,1
1070,2452953,A charmed life : growing up in Macbeth's castle / Liza Campbell.,"Campbell, Liza","0312374771, 9780312374778",2007.,"Thomas Dunne Books/St. Martin's Press,","Campbell Liza, Campbell family, Cawdor Castle Scotland, Aristocracy Social class Scotland Biography",acbk,canf,,cen,10/01/2017,1
1071,2454985,Dodsworth in New York / written and illustrated by Tim Egan.,"Egan, Tim, 1957-","0618777083, 9780618777082",2007.,"Houghton Mifflin,","Voyages and travels Juvenile fiction, New York N Y Fiction, Ducks Fiction, Adventure stories",jcbk,ncrdr,Floating,mag,10/01/2017,1
1072,2771082,Gaither homecoming celebration! [sound recording].,"Gaither, Bill",,p2012.,"Gaither Music Group,","Country gospel music, Gospel music",accd,nacd,Floating,bal,10/01/2017,1
1073,3255752,You can't be too careful! / Roger Mello ; translated by Daniel Hahn.,"Mello, Roger","0914671642, 9780914671640",[2017],"Elsewhere Editions,","Kindness Juvenile fiction, Greed Juvenile fiction, Kindness Fiction, Greed Fiction",jcbk,ccpic,,cen,10/01/2017,1
1074,2358690,Kompʹ︠i︡uter dl︠i︡a deteĭ : mo︠i︡a perva︠i︡a informatika / S.V. Simonovich.,"Simonovich, S. (Sergeĭ)",5947761432,2005.,"AST-Press shkola,","Computers Juvenile literature, Russian language materials",jcbk,ccln,,cen,10/01/2017,1
1075,2866125,The boomer burden : dealing with your parents' lifetime accumulation of stuff / Julie Hall.,"Hall, Julie, 1962-","078522825X, 9780785228257",c2007.,"Thomas Nelson,","Administration of estates, Estate planning, Baby boom generation, Aging parents",acbk,canf,,cen,10/01/2017,2
1076,732214,"1870 U.S. census, city of Portland, Oregon / by Mrs. Harry I. Hiday.",United States. Census Office. Census (9th : 1870),,1973.,"Genealogical Forum of Portland, Or.,",Portland Or Census 1870,arbk,caref,,cen,10/01/2017,1
1077,2874664,Building a model railroad step by step / David Popp.,"Popp, David (David A.)","089024832X, 9780890248324",2011.,"Kalmbach Books,","Railroads Models, Railroads Models Design and construction",acbk,canf,,cen,10/01/2017,1
1078,3277714,The address : a novel / Fiona Davis.,"Davis, Fiona, 1966-","152474199X, 1524742015, 9781524741990, 9781524742010",[2017],"Dutton,","Dakota The New York N Y Fiction, Interior decorators Fiction, Social classes New York State New York Fiction, Historical fiction, Detective and mystery fiction",acbk,nafic,,bea,10/01/2017,1
1079,2684774,"Chi's sweet home. 3 / Konami Kanata ; [translation, Ed Chavez].","Konami, Kanata, 1958-","1934287911, 9781934287910",c2010.,"Vertical, Inc.","Kittens Comic books strips etc, Cat owners Comic books strips etc, Human animal relationships Comic books strips etc, Apartment dwellers Comic books strips etc, Apartment houses Comic books strips etc, Cartoons and comics, Graphic novels",jcbk,nccomic,,glk,10/01/2017,1
1080,2929758,The secret history / Donna Tartt.,"Tartt, Donna","1400031702, 9781400031702",2004.,"Vintage Contemporaries,","Teacher student relationships Fiction, College students Fiction, Classicists Fiction, Murderers Fiction, Vermont Fiction, Psychological fiction, College stories",acbk,nafic,,gwd,10/01/2017,1
1081,2485721,"Cloverfield [videorecording] / Bad Robot ; Paramount Pictures ; produced by J.J. Abrams, Bryan Burk ; written by Drew Goddard ; directed by Matt Reeves.",,"1415738904, 9781415738900",[2008],"Paramount Home Entertainment,","Parties New York State New York Drama, Monsters New York State New York Drama, Camcorders New York State New York Drama, New York N Y Drama, Feature films, Science fiction films, Video recordings for the hearing impaired, Horror films, Action and adventure films, Thrillers Motion pictures",acdvd,nadvd,Floating,wts,10/01/2017,1
1082,3246084,Close enough to touch / Colleen Oakley.,"Oakley, Colleen.","150823079X, 9781508230793",[2017],"Simon & Schuster Audio,","Divorced fathers Fiction, Allergy Fiction, Adopted children Fiction, Audiobooks, Romance fiction",accd,cabocd,,cen,10/01/2017,1
1083,284068,Mexican architecture of the sixteenth century.,"Kubler, George, 1912-1996.",,1948.,"Yale University Press,",Architecture Mexico,arbk,cs8r,,cen,10/01/2017,2
1084,3097205,"World War One [videorecording] : the people's story / ITV Studios Limited ; directed and edited by Paul Copeland ; produced by Izzy Charman ; executive producer, Ollie Tait.",,"1621723240, 9781621723240",c2015.,"Distributed exclusively by RLJ Entertainment,","World War 1914 1918, Documentary films, Video recordings for the hearing impaired",acdvd,nadvdnf,Floating,net,10/01/2017,1
1085,2834306,The breathless zoo : taxidermy and the cultures of longing / Rachel Poliquin.,"Poliquin, Rachel, 1975-","0271053720, 9780271053721",c2012.,"Pennsylvania State University Press,","Taxidermy History, Taxidermy Social aspects, Taxidermy Psychological aspects, Human animal relationships, Desire Social aspects, Animals in art, Animals in literature",acbk,canf,,cen,10/01/2017,1
1086,2870718,A matter of trust / Lis Wiehl with April Henry.,"Wiehl, Lis W.","159554903X, 9781595549037",2013.,"Thomas Nelson,","Women lawyers Fiction, Widows Fiction, Single parents Fiction, Female friendship Fiction, Serial murder investigation Fiction, Mystery fiction, Legal stories",acbk,namys,Floating,gwd,10/01/2017,1
1087,2577089,"H.R. 6311, the Non-native Wildlife Invasion Prevention Act : legislative hearing before the Subcommittee on Fisheries, Wildlife, and Oceans of the Committee on Natural Resources, U.S. House of Representatives, One Hundred Tenth Congress, second session, Thursday, June 26, 2008.","United States. Congress. House. Committee on Natural Resources. Subcommittee on Fisheries, Wildlife, and Oceans","0160826640, 9780160826641",2009.,"U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O.,","Introduced animals Law and legislation United States, Nonindigenous pests Law and legislation United States, Wildlife smuggling United States",acbk,canf,,cen,10/01/2017,1
1088,3037600,A Christmas memory / Truman Capote ; illustrated by Beth Peck.,"Capote, Truman, 1924-1984","0385392761, 9780385392761",[2014],"Alfred A Knopf,","Friendship Juvenile fiction, Christmas Fiction, Friendship Fiction, Christmas stories",jcbk,nchol,,bal,10/01/2017,1
1089,3228618,The nearness of you : a novel / Amanda Eyre Ward.,"Ward, Amanda Eyre, 1972-","110188715X, 9781101887158",[2017],"Ballantine Books,","Surrogate mothers Fiction, Domestic fiction",acbk,cafic,,cen,10/01/2017,2
1090,3101470,Recovering joy : a mindful life after addiction / Kevin Griffin.,"Griffin, Kevin Edward, 1950-","1622034295, 9781622034291",[2015],"Sounds True, Inc.,","Twelve step programs Religious aspects Buddhism, Self help techniques Religious aspects Buddhism, Happiness Religious aspects Buddhism, Recovering alcoholics Psychology",acbk,nanf,,dlr,10/01/2017,1
1091,2363210,La mosca / [texto e ilustraciones] Gusti.,"Gusti, 1963-",9709705032,c2005.,"Ediciones Serres,","Flies Juvenile fiction, Baths Fiction, Spanish language materials Fiction",jcbk,ncln,,swt,10/01/2017,1
1092,3253700,Vilonia Beebe takes charge / Kristin L. Gray.,"Gray, Kristin L.","1481458426, 9781481458429",[2017],"Simon & Schuster Books for Young Readers,","Responsibility Fiction, Mothers and daughters Fiction, Grief Fiction, Responsibility Fiction, Mothers and daughters Fiction, Grief Fiction",jcbk,ncnew,,net,10/01/2017,1
1093,6051,"A historical account of St. Thomas, W.I., with its rise and progress in commerce ... and incidental notices of St. Croix and St. Johns ..., by John P. Knox.","Knox, John P.",0837129478,[1970],Negro Universities Press,Saint Thomas United States Virgin Islands History,arbk,caref,,cen,10/01/2017,1
1094,460191,Baron Wolman presents Spanning the Gate : the Golden Gate Bridge / text by Stephen Cassady.,"Cassady, Stephen",0916290360,c1986.,"Squarebooks,","Golden Gate Bridge San Francisco Calif, San Francisco Calif Buildings structures etc",acbk,canf,,cen,10/01/2017,1
1095,1270146,"Hunger in America : who cares? : hearing before the Select Committee on Hunger, House of Representatives, One Hundred Second Congress, second session, hearing held in Washington, DC, April 30, 1992.",United States. Congress. House. Select Committee on Hunger.,0160390230,1992.,"U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,","Food relief United States, Hunger",acbk,canf,,cen,10/01/2017,1
1096,2341712,Still sexy after all these years? : the 9 unspoken truths about women's desire beyond 50 / by Leah Kliger and Deborah Nedelman.,"Kliger, Leah",039953217X,2006.,"A Perigee Book,","Middle aged women Sexual behavior, Older women Sexual behavior, Sexual desire disorders Popular works, Middle aged women Psychology, Older women Psychology",acbk,canf,,cen,10/01/2017,1
1097,2966854,The one / Kiera Cass.,"Cass, Kiera","0062059998, 9780062059994",[2014],"HarperTeen, an imprint of HarperCollinsPublishers,","Marriage Juvenile fiction, Contests Juvenile fiction, Social classes Juvenile fiction, Princes Juvenile fiction, Revolutionaries Juvenile fiction, Marriage Fiction, Love Fiction",acbk,nyfic,,hip,10/01/2017,1
1098,3017984,"Chuyển dạ, sinh con : và những biến chứng thường gặp trong thai kỳ / biên soạn, Trương Thị Thiên Ái ; hiệu đính, Lê Thị Thu Hà.",,"6045613074, 9786045613078",2013.,"Phụ Nữ,","Pregnancy Miscellanea, Childbirth Miscellanea, Child rearing",acbk,naln,,rbe,10/01/2017,1
1099,2664694,Lênh đênh qua cửa thần phù / Dương Nghiễm Mậu.,"Dương, Nghiẽm Mậu, 1936-",,2009.,"Văn Mới,",,acbk,naln,,idc,10/01/2017,1
1100,1948580,"Record of decision and responsiveness summary for the Final environmental impact statement on the wastewater management plan for the Lake Washington/Green River Basins EPA project no. C530846-01 / responsible official ... John R. Spencer, Regional Administrator (U.S. Environmental Protection Agency, Region X).","Spencer, John R., 1946-",,[1982],"The Agency,","Sewage disposal plants Environmental aspects Washington State Seattle Metropolitan Area, Water quality management Environmental aspects Washington State Seattle Metropolitan Area, Green River Watershed King County Wash, Washington Lake Watershed Wash",arbk,cs7ro,,cen,10/01/2017,1
1101,2603030,The essential enneagram : the definitive personality test and self-discovery guide / David N. Daniels and Virginia A. Price.,"Daniels, David N., 1934-","0061713163, 9780061713163",c2009.,"HarperOne,",Enneagram,acbk,canf,,cen,10/01/2017,1
1102,2517246,Wild about wildlife : have you got what it takes to be a zookeeper? / by Lisa Thompson.,"Thompson, Lisa, 1969-","0756536162, 9780756536169",2008.,"Compass Point Books,","Zoology Vocational guidance Juvenile literature, Zoo keepers Juvenile literature, Zoology Juvenile literature",jcbk,ncnf,,qna,10/01/2017,1
1103,3084354,"What we do in the shadows [videorecording] / The Orchard ; Unison ; Defender Films ; Two Canoes Pictures ; produced by Taika Waititi, Chelsea Winstanley, Emanuel Michael ; written and directed by Jemaine Clement and Taika Waititi.",,,[2015],"Paramount Pictures Corporation,","Vampires Drama, Feature films, Vampire films, Comedy films, Horror films, Documentary style films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,cap,10/01/2017,2
1104,2248915,Boom Chicka Rock / John Archambault ; illustrated by Suzanne Tanner Chitwood.,"Archambault, John",0399235876,c2004.,"Philomel Books,","Mice Juvenile fiction, Cats Juvenile fiction, Clocks and watches Juvenile fiction, Time Juvenile fiction, Stories in rhyme Juvenile fiction, Counting Fiction",jcbk,ncpic,,lcy,10/01/2017,1
1105,495097,A guide to the literature of electrical and electronics engineering / Susan B. Ardis ; edited by Jean M. Poland.,"Ardis, Susan",0872874745,1987.,"Libraries Unlimited,","Electrical engineering Bibliography, Electronics Bibliography",arbk,caref,,cen,10/01/2017,1
1106,1917038,Kōreisha ga tsukaiyasui nichiyōhin / Hamada Kiyoko.,"Hamada, Kiyoko.",4794976518,1998.,"Shōbunsha Shuppan,","Older people Care Japan Equipment and supplies, Older people Health and hygiene Japan",acbk,caln,,cen,10/01/2017,1
1107,2761973,Katy Duck makes a friend / by Alyssa Satin Capucilli ; illustrated by Henry Cole.,"Capucilli, Alyssa Satin, 1957-","1442419768, 1442419776, 9781442419766, 9781442419773",2012.,"Simon Spotlight,","Dance Juvenile fiction, Play Fiction, Ducks Fiction, Dogs Fiction, Neighbors Fiction",jcbk,ncrdr,Floating,qna,10/01/2017,1
1108,3148978,¡Alto al Alzheimer! / Bruce Fife ; prefacio del doctor Russell L. Blaylock ; traducción del inglés por Pedro Ruiz de Luna.,"Fife, Bruce, 1952-","841623356X, 9788416233564",[2015],"Editorial Sirio,","Alzheimers disease Prevention Popular works, Alzheimers disease Diet therapy Popular works, Nervous system Diseases Prevention Popular works, Nervous system Diseases Diet therapy Popular works, Nervous system Degeneration Prevention Popular works, Nervous system Degeneration Nutritional aspects Popular works, Ketonic acids Therapeutic use Popular works",acbk,caln,,cen,10/01/2017,1
1109,4847,"Narrative of William W. Brown, a fugitive slave. Boston, Anti-slavery Office, 1847.","Brown, William Wells, 1814?-1884",,[1970],Johnson Reprint Corp.,"Brown William Wells 1814 1884, Fugitive slaves United States Biography",acbk,naaab,,dth,10/01/2017,1
1110,2138143,Spying with maps : surveillance technologies and the future of privacy / Mark Monmonier.,"Monmonier, Mark S.",0226534278,2002.,"University of Chicago Press,","Electronic surveillance, Remote sensing, Privacy Right of",acbk,canf,,cen,10/01/2017,1
1111,515070,"Motorships of the world and motorshipping-register; an annual reference work of motor and motor-electric ships, with a list of the principal owners of motor vessels throughout the world ...",,,1929-,"S. Low, Martson & Co.,",Motor ships,arbk,cs6r,,cen,10/01/2017,2
