,UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
2777,Physical,Horizon,BOOK,2005,9,3,Till next we meet,,"Love stories, Historical fiction",,
2778,Physical,Horizon,SOUNDDISC,2005,9,1,Amazing grace a country salute to gospel,,Gospel music,,
2779,Physical,Horizon,BOOK,2005,9,1,Transformative learning educational vision for the 21st century,,"Critical pedagogy, Environmentalism, Postmodernism and education, Education Economic aspects",,
2780,Physical,Horizon,BOOK,2005,9,1,little world of Don Camillo,,,,
2781,Physical,Horizon,BOOK,2005,9,1,Nursery crafts over 70 easy projects to create for the nursery,,"Handicraft, Nurseries, Infants supplies, Childrens rooms, Childrens paraphernalia",,
2782,Physical,Horizon,BOOK,2005,9,1,ravishing of Lol Stein,,,,
2783,Physical,Horizon,VIDEODISC,2005,9,7,Hermie friends Webster the scaredy spider,,"Christian life Fiction, Fear Fiction, Courage Fiction, Spiders Fiction, Video recordings for the hearing impaired, Animated films, Childrens films",,
2784,Physical,Horizon,BOOK,2005,9,5,Flesh blood,,"Mystery fiction, Ex police officers England Fiction",,
2785,Physical,Horizon,BOOK,2005,9,7,Hush money,,,,
2786,Physical,Horizon,VIDEOCASS,2005,9,1,Honor bound a personal journey,,"United States Army Regimental Combat Team 442nd, World War 1939 1945 Japanese Americans, World War 1939 1945 Regimental histories United States, United States Army Infantry Battalion 100th, Hanamura Howard",,
2787,Physical,Horizon,BOOK,2005,9,2,Something unpredictable a novel,,"Domestic fiction, Psychological fiction, Grandparent and child Fiction",,
2788,Physical,Horizon,BOOK,2005,9,2,witching hour a novel,,,,
2789,Physical,Horizon,BOOK,2005,9,2,Japanese,,Japan History Tokugawa period 1600 1868 Pictorial works Juvenile literature,,
2790,Physical,Horizon,BOOK,2005,9,1,romantics a novel,,"Bildungsromans, India Social life and customs Fiction, English India Fiction, College students India Fiction",,
2791,Physical,Horizon,BOOK,2005,9,4,In Wibblys garden,,"Pigs Fiction, Toy and movable books Specimens",,
2792,Physical,Horizon,BOOK,2005,9,1,true adventures of John Steinbeck writer a biography,,"Novelists American 20th century Biography, Steinbeck John 1902 1968 Biography",,
2793,Physical,Horizon,BOOK,2005,9,1,"Years of the golden cockerel: the last Romanov tsars, 1814-1917, by Sidney Harcave.","Harcave, Sidney, 1916-2008","Romanov House of, Russia Politics and government 1801 1917, Russia Politics and government 1894 1917",Macmillan,[1968]
2794,Physical,Horizon,SOUNDDISC,2005,9,1,24 preludes and fugues op 87,,"Piano music, Canons fugues etc Piano",,
2795,Physical,Horizon,BOOK,2005,9,1,Waterscaping plants and ideas for natural and created water gardens,,"Aquatic plants, Wetland plants, Water gardens, Damp gardens",,
2796,Physical,Horizon,BOOK,2005,9,1,Chapter two a new comedy,,,,
2797,Physical,Horizon,SOUNDDISC,2005,9,1,Cornerboys,,"Folk music Ireland, Popular music Ireland 1991 2000, Fiddle tunes Ireland, Folk dance music Ireland",,
2798,Physical,Horizon,BOOK,2005,9,7,Ranma 1 2 6,,"Comic books strips etc, Graphic novels",,
2799,Physical,Horizon,BOOK,2005,9,1,Organization development behavioral science interventions for organization improvement,,Organizational change,,
2800,Physical,Horizon,BOOK,2005,9,1,Savages / Joe Kane.,"Kane, Joe","Huao Indians Land tenure, Human ecology Ecuador, Human ecology Amazon River Valley","Knopf,",1995.
2801,Physical,Horizon,BOOK,2005,9,5,Murder two : the second casebook of forensic detection / Colin Evans.,"Evans, Colin, 1948-","Murder Investigation Case studies, Forensic scientists Biography, Forensic sciences Case studies, Evidence Criminal","John Wiley & Sons,",c2004.
2802,Physical,Horizon,BOOK,2005,9,1,Blues for cannibals the notes from underground,,"Bowden Charles, United States Description and travel, National characteristics American, Authors American Biography, United States Moral conditions, United States Social conditions 1980, Bowden Charles Travel United States, Bowden Charles Political and social views, Mesquite Folklore, Cannibalism Folklore",,
2803,Physical,Horizon,BOOK,2005,9,1,Fa xian kong long / Jan Stradling zhu ; Lin Miaoguan yi.,"Stradling, Jan","Dinosaurs Juvenile literature, Plants Juvenile literature, Paleontology Juvenile literature, Aquatic ecology Juvenile literature, Chinese language materials","Ming tian chu ban she,",2004.
2804,Physical,Horizon,SOUNDDISC,2005,9,1,G I Jo,,Popular music 1941 1950,,
2805,Physical,Horizon,BOOK,2005,9,2,Angelas wings,,Wings Fiction,,
2806,Physical,Horizon,BOOK,2005,9,10,Brundibar / retold by Tony Kushner ; pictures by Maurice Sendak ; after the opera by Hans Krása and Adolf Hoffmeister.,"Kushner, Tony","Kr sa Hans 1899 1944 Brundib r Juvenile literature, Operas Stories plots etc Juvenile literature, Librettos Juvenile literature, Brothers and sisters Juvenile literature, Bullying Juvenile literature","Michael di Capua Books/Hyperion Books for Children,",2003.
2807,Physical,Horizon,BOOK,2005,9,2,energetics of western herbs treatment strategies integrating western and oriental herbal medicine,,"Medicine Oriental, Materia medica Vegetable, Herbs Therapeutic use",,
2808,Physical,Horizon,SOUNDCASS,2005,9,1,Joyful noise poems for two voices,,"Childrens poetry American, Insects Juvenile poetry",,
2809,Physical,Horizon,BOOK,2005,9,2,Take turns Penguin,,"Animals Fiction, Schools Fiction, Penguins Fiction, First day of school Fiction, Sharing Fiction, Play schools Fiction",,
2810,Physical,Horizon,BOOK,2005,9,1,The blues line; a collection of blues lyrics. With illus. by Jonathan Shahn.,"Sackheim, Eric","Blues Music Texts, African Americans Music Texts, American poetry African American authors","Grossman Publishers,",[1969]
2811,Physical,Horizon,BOOK,2005,9,2,Global brain the evolution of mass mind from the big bang to the 21st century,,"Human evolution, Brain Evolution",,
2812,Physical,Horizon,SOUNDDISC,2005,9,3,Paint the sky with stars [sound recording] : the best of Enya.,Enya,"New Age music, Popular music 1981 1990, Popular music 1991 2000","Reprise,",p1997.
2813,Physical,Horizon,BOOK,2005,9,1,Central America the rough guide,,,,
2814,Physical,Horizon,BOOK,2005,9,1,Shades and shadows for architects,,"Architectural drawing, Shades and shadows",,
2815,Physical,Horizon,VIDEOCASS,2005,9,2,Wizard of Oz in concert dreams come true,,Musicals,,
2816,Physical,Horizon,BOOK,2005,9,2,Boss for a day,,"Dogs Fiction, Dogs Fiction, Brothers and sisters Fiction, Twins Fiction, Twins Fiction, Bossiness Fiction",,
2817,Physical,Horizon,SOUNDDISC,2005,9,4,cello suites inspired by Bach,,Suites Violoncello,,
2818,Physical,Horizon,BOOK,2005,9,1,How to fix your bike / Rob van der Plas.,"Van der Plas, Rob, 1938-",Bicycles Maintenance and repair,"MBI Pub. Co.,",1998.
2819,Physical,Horizon,SOUNDDISC,2005,9,3,Chasing Vermeer [sound recording] / Blue Balliett.,"Balliett, Blue, 1955-","Vermeer Johannes 1632 1675 Juvenile fiction, Art Juvenile fiction, Mystery fiction","Listening Library,",2004.
2820,Physical,Horizon,BOOK,2005,9,2,The dawn of modern geography. A history of exploration and geographical science ... with reproductions of the principal maps of the time.,"Beazley, Charles Raymond, Sir, 1868-1955.","Discoveries in geography, Geography History","Murray,",1897-1906.
2821,Physical,Horizon,BOOK,2005,9,3,"Always running : La Vida Loca, gang days in L.A. / Luis J. Rodriguez.","Rodriguez, Luis J., 1954-","Rodriguez Luis J 1954, Gangs California Los Angeles Biography, Mexican American youth California Los Angeles Biography","Touchstone,",2005.
2822,Physical,Horizon,BOOK,2005,9,1,Never love a stranger,,"Large type books, Mystery fiction, Women detectives Fiction",,
2823,Physical,Horizon,BOOK,2005,9,5,Christopher Lowells If you can dream it you can do it dream de world,,"Interior decoration Psychological aspects, Interior decoration Handbooks manuals etc",,
2824,Physical,Horizon,BOOK,2005,9,2,Cracking the GMAT with sample tests on CD ROM,,"Graduate Management Admission Test Interactive multimedia, Management Examinations questions etc Interactive multimedia, Business Examinations questions etc Interactive multimedia",,
2825,Physical,Horizon,BOOK,2005,9,2,Deadly echo,,"Mystery fiction, Women private investigators England Fiction, Kinsella Kate Fictitious character Fiction",,
2826,Physical,Horizon,BOOK,2005,9,6,The original Mother Goose / [illustrated by Blanche Fisher Wright].,,"Nursery rhymes Juvenile literature, Childrens poetry Juvenile literature","Running Press,",c1992.
2827,Physical,Horizon,BOOK,2005,9,1,Design sense graphic design on a limited budget,,"Graphic arts, Commercial art",,
2828,Physical,Horizon,BOOK,2005,9,1,Yang the second and her secret admirers / Lensey Namioka ; illustrated by Kees de Kiefte.,"Namioka, Lensey","Chinese Americans Juvenile fiction, Chinese Americans Fiction, Brothers and sisters Fiction","Little, Brown,",c1998.
2829,Physical,Horizon,BOOK,2005,9,19,broken ear,,"Cartoons and comics, Adventure and adventurers Fiction",,
2830,Physical,Horizon,VIDEOCASS,2005,9,4,Mephisto Waltz,,"Horror films, Feature films",,
2831,Physical,Horizon,VIDEOCASS,2005,9,1,Wild about animals Africa,,"Zoology Africa, Cheetah, Droughts Africa, Antelopes Africa",,
2832,Physical,Horizon,BOOK,2005,9,2,illustrated encyclopedia of Buddhist wisdom,,"Buddhism, Spiritual life Buddhism",,
2833,Physical,Horizon,BOOK,2005,9,1,Metropolis ten cities ten centuries,,"Architectural drawing, Civilization History Pictorial works, Cities and towns History Pictorial works, Architecture and society History Pictorial works",,
2834,Physical,Horizon,VIDEOCASS,2005,9,2,Soccer with Mayte Soccer for girls getting started,,"Childrens films, Soccer for children Juvenile films, Soccer Training Juvenile films",,
2835,Physical,Horizon,VIDEODISC,2005,9,12,"Code 46 [videorecording] / United Artists presents in association with the UK film Council and BBC Films a Revolution Films production, a Michael Winterbottom film ; producer, Andrew Eaton ; screenplay, Frank Cottrell Boyce ; director, Michael Winterbottom.",,"Social classes Drama, Identification cards Forgeries Drama, Fraud investigation Drama, DNA fingerprinting Drama, Feature films, Science fiction films, Video recordings for the hearing impaired","MGM Home Entertainment,",[2004]
2836,Physical,Horizon,BOOK,2005,9,3,Will you come back for me,,"Fear Fiction, Parent and child Fiction, Day care centers Fiction",,
2837,Physical,Horizon,BOOK,2005,9,4,Mac OS X the missing manual,,"Operating systems Computers Handbooks manuals etc, Mac OS Handbooks manuals etc, Macintosh Computer Handbooks manuals etc",,
2838,Physical,Horizon,VIDEOCASS,2005,9,2,Lindy hop pt 2 building on the basics,,"Jitterbug Dance, Lindy Dance",,
2839,Physical,Horizon,BOOK,2005,9,1,Easy Windows 98 see it done do it yourself,,"Operating systems Computers, Microsoft Windows Computer file",,
2840,Physical,Horizon,SOUNDDISC,2005,9,1,art of the Baroque trumpet Vol 4,,"Overtures, Concertos Trumpet, Concertos Trumpet and oboe",,
2841,Physical,Horizon,VIDEOCASS,2005,9,8,Howards End,,"Video recordings for the hearing impaired, Feature films",,
2842,Physical,Horizon,VIDEOCASS,2005,9,9,Sesame Street computer caper,,"Video recordings for the hearing impaired, Childrens films, Monsters Fiction, Computers Fiction",,
2843,Physical,Horizon,BOOK,2005,9,1,How reading changed my life,,"Women authors American 20th century Biography, Books and reading United States History 20th century, Quindlen Anna Books and reading",,
2844,Physical,Horizon,BOOK,2005,9,1,Wheres your nose,,"Games, Body Human",,
2845,Physical,Horizon,BOOK,2005,9,1,Babel Tower,,"Legal stories, Domestic fiction, Married women England London Fiction, Young women England Fiction, Trials Obscenity England Fiction, Family violence England Fiction, Divorce England Fiction",,
2846,Physical,Horizon,BOOK,2005,9,1,Marketing moves a new approach to profits growth and renewal,,"Marketing, Marketing Management, Telemarketing",,
2847,Physical,Horizon,BOOK,2005,9,1,Mastering financial calculations a step by step guide to the mathematics of financial markets instruments,,"Business mathematics, Finance, Investment Mathematics",,
2848,Physical,Horizon,SOUNDDISC,2005,9,10,Greatest hits Volume 2,,Popular music,,
2849,Physical,Horizon,BOOK,2005,9,1,Animals and their young : how animals produce and care for their babies / written by Pamela Hickman ; illustrated by Pat Stephens.,"Hickman, Pamela.","Parental behavior in animals Juvenile literature, Animals Infancy Juvenile literature","Kids Can Press,",c2003.
2850,Physical,Horizon,BOOK,2005,9,1,Universal interiors by design : gracious spaces / Irma Laufer Dobkin and Mary Jo Peterson.,"Dobkin, Irma Laufer","Universal design, Barrier free design, Dwellings Barrier free design","McGraw-Hill,",c1999.
2851,Physical,Horizon,BOOK,2005,9,2,Voice of the goddess,,"Love stories, Historical fiction, Goddess religion Fiction, Minoans Fiction, Crete Greece History To 67 B C Fiction",,
2852,Physical,Horizon,VIDEODISC,2005,9,1,Kingston Trio and friends reunion,,"Popular music United States, Folk songs United States",,
2853,Physical,Horizon,BOOK,2005,9,13,gift bag chronicles a novel,,"Humorous fiction, Man woman relationships Fiction, Hollywood Los Angeles Calif Fiction, Divorced women Fiction, Caterers and catering Fiction, Special events Planning Fiction",,
2854,Physical,Horizon,BOOK,2005,9,1,Great book of domino games,,"Dominoes, Dominoes Juvenile literature",,
2855,Physical,Horizon,BOOK,2005,9,6,Perfectly legal : the covert campaign to rig our tax system to benefit the super rich--and cheat everybody else / David Cay Johnston.,"Johnston, David C.","Taxation United States, Tax evasion United States, Taxation Law and legislation United States, Rich people United States","Portfolio,",2003.
2856,Physical,Horizon,BOOK,2005,9,2,Be your own architect,,"Architecture Domestic Designs and plans, Architecture Domestic Amateurs manuals",,
2857,Physical,Horizon,BOOK,2005,9,1,Soka education a Buddhist vision for teachers students and parents,,"Soka Gakkai, Education Philosophy, Ikeda Daisaku Contributions in education",,
2858,Physical,Horizon,BOOK,2005,9,6,Green living the E magazine handbook for living lightly on the earth,,"Organic living, Environmentalism, Environmental protection Citizen participation",,
2859,Physical,Horizon,BOOK,2005,9,1,Jurgen a comedy of justice,,"Fantasy fiction, Allegories, Historical fiction, Middle Ages Fiction",,
2860,Physical,Horizon,BOOK,2005,9,1,Cooking the Indian way,,"Cookery Indic, India Social life and customs, India Social life and customs Juvenile literature, Cookery Indic Juvenile literature",,
2861,Physical,Horizon,BOOK,2005,9,2,Death of a poison pen,,"Mystery fiction, Anonymous letters Fiction, Highlands Scotland Fiction, MacBeth Hamish Fictitious character Fiction, Police Scotland Highlands Fiction",,
2862,Physical,Horizon,BOOK,2005,9,1,"God and Golem, inc.; a comment on certain points where cybernetics impinges on religion.","Wiener, Norbert, 1894-1964","Cybernetics, Religion and science","M.I.T. Press,",[1964]
2863,Physical,Horizon,BOOK,2005,9,1,The ancient Maya / written by Lila Perl.,"Perl, Lila","Mayas History Juvenile literature, Mayas Social life and customs Juvenile literature","Franklin Watts,",c2005.
2864,Physical,Horizon,BOOK,2005,9,11,Perfectly reasonable deviations from the beaten track : the letters of Richard P. Feynman / edited and with additional commentary by Michelle Feynman ; foreword by Timothy Ferris.,"Feynman, Richard P. (Richard Phillips), 1918-1988","Feynman Richard P Richard Phillips 1918 1988, Physicists United States Correspondence, Physicists United States Biography, Physics","Basic Books,",c2005.
2865,Physical,Horizon,BOOK,2005,9,1,Plenty good room,,,,
2866,Physical,Horizon,SOUNDCASS,2005,9,1,Neighbors friends World of work language Spanish,,"Spanish language Sound recordings for English speakers, English language Sound recordings for Spanish speakers",,
2867,Physical,Horizon,BOOK,2005,9,1,"The Encyclopedia of herbs, spices, & flavorings / contributing editor, Elisabeth Lambert Ortiz.",,"Herbs Encyclopedias, Spices Encyclopedias, Cooking Herbs Encyclopedias","Dorling Kindersley,",c1992.
2868,Physical,Horizon,VIDEODISC,2005,9,10,Kotch,,"Fathers and sons Drama, Widowers Drama, Video recordings for the hearing impaired, Feature films, Teenage mothers Drama",,
2869,Physical,Horizon,SOUNDDISC,2005,9,6,Haunted cities,,Rock music 2001 2010,,
2870,Physical,Horizon,BOOK,2005,9,3,Survivors the night the Titanic sank,,"Survival Fiction, Shipwrecks Fiction, Titanic Steamship Juvenile fiction, Titanic Steamship Fiction, Ocean liners Fiction",,
2871,Physical,Horizon,BOOK,2005,9,1,Cats,,"Cats, Cat breeds",,
2872,Physical,Horizon,VIDEOCASS,2005,9,1,Enter the dragon,,Feature films,,
2873,Physical,Horizon,SOUNDCASS,2005,9,1,Wednesday the rabbi got wet,,"Mystery fiction, Small David Fictitious character Fiction, Rabbis Massachusetts Fiction",,
2874,Physical,Horizon,SOUNDDISC,2005,9,4,Afro Celt Sound System Volume 2 Release,,"Celtic music, World music, Popular music 1991 2000",,
2875,Physical,Horizon,BOOK,2005,9,1,Zoo doings animal poems,,"Childrens poetry American, Animals Poetry, American poetry, Animals Juvenile poetry",,
2876,Physical,Horizon,BOOK,2005,9,2,Frontier of freedom : African Americans in the West / Lisa Yount.,"Yount, Lisa","African Americans West U S History, African Americans West U S Biography, Frontier and pioneer life West U S, West U S Race relations","Facts On File,",c1997.
2877,Physical,Horizon,BOOK,2005,9,3,"Plants that merit attention / the Garden Club of America ; Janet Meakin Poor, editor ; Nancy P. Brewster, photographic editor.",,"Landscape plants, Plants Ornamental, Landscape plants Pictorial works, Plants Ornamental Pictorial works","Timber Press,",c1984 (1994 printing)-<c1996 >
2878,Physical,Horizon,SOUNDDISC,2005,9,13,The princess and the pea [sound recording] / by Janet Stevens.,"Stevens, Janet,",Fairy tales,"Live Oak Media,","p1996, c1982."
2879,Physical,Horizon,SOUNDDISC,2005,9,1,passion of Artemisia,,"Biographical fiction, Italy Fiction, Women painters Fiction, Gentileschi Artemisia 1593 1652 or 3 Fiction",,
2880,Physical,Horizon,BOOK,2005,9,1,Prisoner of the iron tower,,"Fantasy fiction, Prisoners Fiction, Painters Fiction",,
2881,Physical,Horizon,BOOK,2005,9,2,Say you love me,,,,
2882,Physical,Horizon,BOOK,2005,9,3,French for dummies,,"French language Self instruction, French language Conversation and phrase books",,
2883,Physical,Horizon,BOOK,2005,9,7,At days close night in times past,,"Social history, Night Social aspects, Night History",,
2884,Physical,Horizon,SOUNDDISC,2005,9,1,Saturday night fever original London cast recording,,"Musicals, Disco music",,
2885,Physical,Horizon,BOOK,2005,9,1,best American science and nature writing 2000,,"Science, Natural history, Technical writing, Nature",,
2886,Physical,Horizon,BOOK,2005,9,1,forest of souls a walk through the Tarot,,Tarot,,
2887,Physical,Horizon,BOOK,2005,9,1,Back pain remedies for dummies,,Backache Popular works,,
2888,Physical,Horizon,BOOK,2005,9,2,Alchemy,,"Magic Fiction, Magicians Fiction, Alchemy Fiction",,
2889,Physical,Horizon,BOOK,2005,9,2,Tony Hawk professional skateboarder,,"Hawk Tony, Skateboarders United States Biography",,
2890,Physical,Horizon,BOOK,2005,9,1,Bendigo Shafter,,Western stories,,
2891,Physical,Horizon,BOOK,2005,9,1,"Games girls play : understanding and guiding young female athletes / Caroline Silby, with Shelley Smith.","Silby, Caroline","Sports for women, Sports for women Coaching, Women athletes Psychology","St. Martin's Press,",2000.
2892,Physical,Horizon,BOOK,2005,9,2,Poker a winners guide,,"Gambling, Poker",,
2893,Physical,Horizon,BOOK,2005,9,1,Uncle Rain Cloud / by Tony Johnston ; illustrated by Fabricio VandenBroeck.,"Johnston, Tony, 1942-","Uncles Juvenile fiction, English language Juvenile fiction, Mexican Americans Juvenile fiction","Charlesbridge,",2001.
2894,Physical,Horizon,SOUNDDISC,2005,9,2,Magical beginnings enchanted lives a holistic guide to pregnancy and childbirth,,"Pregnancy, Meditation, Childbirth, Hatha yoga, Medicine Ayurvedic",,
2895,Physical,Horizon,SOUNDDISC,2005,9,5,Appalachian Picking Society,,"Bluegrass music 2001 2010, Popular instrumental music 2001 2010, Folk music Appalachian Region",,
2896,Physical,Horizon,BOOK,2005,9,14,The secret man : the story of Watergate's Deep Throat / Bob Woodward.,"Woodward, Bob, 1943-","Felt W Mark 1913 2008, Woodward Bob 1943, Watergate Affair 1972 1974, Washington Post, United States Federal Bureau of Investigation, Political corruption United States, United States Politics and government 1969 1974, United States Politics and government 1974 1977, Informers Washington D C","Simon & Schuster,",c2005.
2897,Physical,Horizon,BOOK,2005,9,3,Jimi me,,"Racially mixed people Fiction, African Americans Fiction, Fathers and sons Fiction, Grief Fiction, Hendrix Jimi Fiction",,
2898,Physical,Horizon,BOOK,2005,9,1,Final arrangements,,"Humorous fiction, Family owned business enterprises Fiction, Eccentrics and eccentricities Fiction, Undertakers and undertaking Fiction, Funeral rites and ceremonies Fiction",,
2899,Physical,Horizon,MIXED,2005,9,1,ILLM INDIAN BEAUTY BOLLYWOOD STYLE,,,,
2900,Physical,Horizon,BOOK,2005,9,1,Thieves world turning points,,Fantasy fiction American,,
2901,Physical,Horizon,SOUNDDISC,2005,9,2,queen of the South,,"Young women Fiction, Drug traffic Fiction, Women narcotics dealers Fiction",,
2902,Physical,Horizon,BOOK,2005,9,1,world of the dark crystal,,"Fantasy in art, Froud Brian, Dark crystal Motion picture",,
2903,Physical,Horizon,BOOK,2005,9,1,Great wines made simple straight talk from a master sommelier,,Wine and wine making,,
2904,Physical,Horizon,BOOK,2005,9,2,Caros fundamental secrets of winning poker,,Poker,,
2905,Physical,Horizon,BOOK,2005,9,1,Marsh cat / written and illustrated by Peter Parnall.,"Parnall, Peter",Cats Juvenile fiction,"Macmillan Pub. Co. ; Collier Macmillan Canada ; Maxwell Macmillan International,",c1991.
2906,Physical,Horizon,BOOK,2005,9,1,Bambini The Italian approach to infant toddler care,,"Early childhood education Italy Case studies, Child care Italy Case studies",,
2907,Physical,Horizon,BOOK,2005,9,3,Whatever happened to Janie,,"Kidnapping Fiction, Brothers and sisters Fiction, Parent and child Fiction, Identity Fiction",,
2908,Physical,Horizon,BOOK,2005,9,2,Marc Chagall,,"Artists, Chagall Marc 1887 Juvenile literature, Chagall Marc 1887, Artists Russia Federation Biography Juvenile literature",,
2909,Physical,Horizon,SOUNDDISC,2005,9,3,Blood chocolate,,Rock music 1981 1990,,
2910,Physical,Horizon,BOOK,2005,9,3,The gunslinger / Stephen King ; illustrated by Michael Whelan.,"King, Stephen, 1947-","Roland Fictitious character King Fiction, Good and evil Fiction, Heroes Fiction, Epic fiction, Adventure fiction, Fantasy fiction","Penguin Group,",2003.
2911,Physical,Horizon,BOOK,2005,9,5,The man who fell in love with the moon / a novel by Tom Spanbauer.,"Spanbauer, Tom",Indians of North America Fiction,"Grove Press,",c1991.
2912,Physical,Horizon,BOOK,2005,9,11,Sazae san,,Comic books strips etc Japan,,
2913,Physical,Horizon,BOOK,2005,9,1,iron heel,,,,
2914,Physical,Horizon,BOOK,2005,9,1,Zhen shi de ri zi / Chi Li [and others].,,"Short stories Chinese 20th century, Chinese fiction 20th century","Shi dai wen yi chu ban she : Jilin sheng xin hua shu dian fa xing,",2000.
2915,Physical,Horizon,BOOK,2005,9,1,Frozen dinners,,"Ghosts Fiction, Horror stories, Yeti Fiction, Blizzards Fiction",,
2916,Physical,Horizon,BOOK,2005,9,1,Fly fishing for dummies,,Fly fishing,,
2917,Physical,Horizon,BOOK,2005,9,2,island of bicycle dancers,,"Love stories, Bildungsromans, New York N Y Fiction, Young women Fiction, Korean Americans Fiction, Bicycle messengers Fiction, Koreans Japan Fiction, Japanese New York State New York Fiction, English language Acquisition Fiction",,
2918,Physical,Horizon,VIDEODISC,2005,9,2,Atkins complete fast easy healthy,,"Food portions, Reducing diets Recipes, Low carbohydrate diet, Sugar free diet, Health behavior",,
2919,Physical,Horizon,BOOK,2005,9,2,Seven sisters,,"Mystery fiction, California Fiction, Harper Benni Fictitious character Fiction, Women museum curators California Fiction, Women detectives California Fiction, Quiltmakers California Fiction, Quilting California Fiction",,
2920,Physical,Horizon,BOOK,2005,9,1,Death at a discount,,"Mystery fiction, Connecticut Fiction, Henshaw Susan Fictitious character Fiction, Housewives Connecticut Fiction",,
2921,Physical,Horizon,BOOK,2005,9,3,Iran,,"Iran, Iran Juvenile literature",,
2922,Physical,Horizon,VIDEOCASS,2005,9,8,spiral staircase,,"Horror films, Feature films",,
2923,Physical,Horizon,BOOK,2005,9,8,Deep pockets,,"Mystery fiction, Extortion Fiction, Carlyle Carlotta Fictitious character Fiction, Cambridge Mass Fiction, African American college teachers Fiction, College teachers Crimes against Fiction, Women private investigators Massachusetts Cambridge Fiction",,
2924,Physical,Horizon,BOOK,2005,9,2,Jūsansai no nakōdo : onʾyado kawasemi / Hiraiwa Yumie.,"Hiraiwa, Yumie, 1932-",Short stories,"Bungei Shunjū,",Heisei 16 [2004]
2925,Physical,Horizon,BOOK,2005,9,1,Stealing sacred fire,,"Fantasy fiction, Millennialism Fiction",,
2926,Physical,Horizon,BOOK,2005,9,2,How to find your passion and make a living at it,,"Job satisfaction, Goal Psychology, Vocational guidance Psychological aspects",,
2927,Physical,Horizon,BOOK,2005,9,1,Can I be good,,"Stories in rhyme, Dogs Fiction, Behavior Fiction",,
2928,Physical,Horizon,BOOK,2005,9,3,Death in Vineyard waters a Marthas Vineyard mystery,,"Mystery fiction, Jackson Jeff Fictitious character Fiction, Private investigators Massachusetts Marthas Vineyard Fiction, Marthas Vineyard Mass Fiction",,
2929,Physical,Horizon,BOOK,2005,9,1,naked Madonna,,,,
2930,Physical,Horizon,BOOK,2005,9,8,Blue blood / Edward Conlon.,"Conlon, Edward, 1965-","Conlon Edward 1965, Police New York State New York Biography, New York N Y Police Department Biography","Riverhead Books,",2004.
2931,Physical,Horizon,MIXED,2005,9,2,Understanding exposure,,Photography Exposure,,
2932,Physical,Horizon,BOOK,2005,9,1,drawings of Rembrandt,,Rembrandt Harmenszoon van Rijn 1606 1669,,
2933,Physical,Horizon,BOOK,2005,9,1,Feathered dinosaurs the origin of birds,,"Birds, Birds Fossil, Dinosaurs, Dinosaurs Juvenile literature, Birds Fossil Juvenile literature, Birds Origin Juvenile literature",,
2934,Physical,Horizon,SOUNDCASS,2005,9,1,Rabbits good news,,"Rabbits Fiction, Spring Fiction",,
2935,Physical,Horizon,VIDEOCASS,2005,9,5,Scooby Doo and the legend of the vampire,,"Animated films, Video recordings for the hearing impaired, Feature films, Childrens films, Vampires Fiction, Australia Fiction, Concerts Fiction, Scooby Doo Fictitious character Fiction",,
2936,Physical,Horizon,BOOK,2005,9,1,The AMA style guide for business writing / from the editors at the American Management Association.,,"Commercial correspondence Handbooks manuals etc, Business writing Handbooks manuals etc, English language Business English Handbooks manuals etc","AMACOM,",c1996.
2937,Physical,Horizon,SOUNDCASS,2005,9,3,My sisters keeper,,"Mothers and daughters Fiction, Sisters Fiction, Teenage girls Fiction, Sick children Fiction, Leukemia Patients Fiction, Organ donors Fiction",,
2938,Physical,Horizon,SOUNDDISC,2005,9,3,midsummer nights dream complete incidental music op 61,,"Incidental music, Overtures, Shakespeare William 1564 1616 Musical settings",,
2939,Physical,Horizon,BOOK,2005,9,3,Wu lin san sheng / Dugu Hong zhu.,"Dugu, Hong",Martial arts fiction Chinese,"Yi li chu ban she,",[198-?]
2940,Physical,Horizon,BOOK,2005,9,4,bride hunt,,"Love stories, Historical fiction",,
2941,Physical,Horizon,BOOK,2005,9,1,The Swiss family Robinson / Johann David Wyss ; with illustrations by Louis Rhead.,"Wyss, Johann David, 1743-1818","Family life Fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Islands Juvenile fiction","A.A. Knopf : Distributed by Random House,",c1994.
2942,Physical,Horizon,BOOK,2005,9,1,Secrecy,,"Large type books, New England Fiction, Family Fiction, Women architects Fiction",,
2943,Physical,Horizon,BOOK,2005,9,4,How to make money as an artist : the 7 winning strategies of successful fine artists / Sean Moore.,"Moore, Sean","Art Vocational guidance United States, Art United States Marketing, Art Economic aspects United States","Chicago Review Press : Distributed by Independent Publishers Group,",c2000.
2944,Physical,Horizon,BOOK,2005,9,1,Anyone but England : cricket and the national malaise / Mike Marqusee.,"Marqusee, Mike",Cricket England History,"Verso,",1994.
2945,Physical,Horizon,SOUNDDISC,2005,9,3,Red dirt road,,Country music 2001 2010,,
2946,Physical,Horizon,VIDEODISC,2005,9,1,Flight from death the quest for immortality,,"Death, Death Psychological aspects, Fear of death",,
2947,Physical,Horizon,BOOK,2005,9,1,Dr Miriam Stoppards new pregnancy birth book,,"Pregnancy, Childbirth",,
